AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD OVEST|CNIS01100D|CNRA01101D|"CEVA - ""G. BARUFFI"""|"ORMEA ""P.BARBERO"""|ORMEA|IST PROF PER L'AGRICOLTURA E L'AMBIENTE|VIALE A.S. NOVARO 96|CUNEO|PIEMONTE|141.0|S
NORD OVEST|CNIC86000E|CNMM86001G|CUNEO VIALE ANGELI|CUNEO - D'AZEGLIO|CUNEO|SCUOLA PRIMO GRADO|VIA BERSEZIO, N. 33|CUNEO|PIEMONTE|353.0|S
NORD OVEST|CNIS012009|CNRA012019|"ALBA - ""UMBERTO I"""|"FOSSANO ""P. BARBERO"""|FOSSANO|IST PROF PER L'AGRICOLTURA E L'AMBIENTE|VIALE MONSIGNOR ROSTAGNO, 16|CUNEO|PIEMONTE|98.0|S
NORD OVEST|CNIS012009|CNRA01202A|"ALBA - ""UMBERTO I"""|"GRINZANE CAVOUR ""P. BARBERO"""|GRINZANE CAVOUR|IST PROF PER L'AGRICOLTURA E L'AMBIENTE|VIA BRICCO, 14|CUNEO|PIEMONTE|183.0|S
NORD OVEST|CNIS012009|CNRA01203B|"ALBA - ""UMBERTO I"""|"VERZUOLO ""P. BARBERO"""|VERZUOLO|IST PROF PER L'AGRICOLTURA E L'AMBIENTE|VIA IV NOVEMBRE, 30|CUNEO|PIEMONTE|211.0|S
NORD OVEST|CNIS00200P|CNRC00201N|"""AIMONE CRAVETTA"""|"""A. CRAVETTA"""|SAVIGLIANO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|CORSO ROMA 70|CUNEO|PIEMONTE|483.0|S
NORD OVEST|CNIS00200P|CNRC002513|"""AIMONE CRAVETTA"""|"SAVIGLIANO""CRAVETTA""SERALE"|SAVIGLIANO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|CORSO ROMA 70|CUNEO|PIEMONTE||
NORD OVEST|CNIC81400R|CNMM814041|BOSSOLASCO-MURAZZANO|BOSSOLASCO SS MURAZZANO|MURAZZANO|SCUOLA PRIMO GRADO|PIAZZA MONSIGNOR DADONE N. 1|CUNEO|PIEMONTE|21.0|S
NORD OVEST|CNIC81600C|CNMM81601D|CORTEMILIA-SALICETO|"CORTEMILIA ""D.ALIGHIERI"""|CORTEMILIA|SCUOLA PRIMO GRADO|VIA SALINO|CUNEO|PIEMONTE|103.0|S
NORD OVEST|CNIC81600C|CNMM81602E|CORTEMILIA-SALICETO|CORTEMILIA SS SALICETO|SALICETO|SCUOLA PRIMO GRADO|VIA  TEN. MARTINI N. 14|CUNEO|PIEMONTE|42.0|S
NORD OVEST|CNIC81600C|CNMM81603G|CORTEMILIA-SALICETO|CORTEMILIA SS MONESIGLIO|MONESIGLIO|SCUOLA PRIMO GRADO|PIAZZA XX SETTEMBRE|CUNEO|PIEMONTE|40.0|S
NORD OVEST|CNIC817008|CNMM817019|SOMMARIVA DEL BOSCO|"SOMMARIVA DEL BOSCO ""P.M.SALES"""|SOMMARIVA DEL BOSCO|SCUOLA PRIMO GRADO|VIA GIANSANA 37|CUNEO|PIEMONTE|166.0|S
NORD OVEST|CNIC817008|CNMM81702A|SOMMARIVA DEL BOSCO|SOMMARIVA B. SS CERESOLE D'ALBA|CERESOLE ALBA|SCUOLA PRIMO GRADO|P.ZA CACCIA N.2|CUNEO|PIEMONTE|57.0|S
NORD OVEST|CNIC817008|CNMM81703B|SOMMARIVA DEL BOSCO|SOMMARIVA B. SS SANFRE'|SANFRE'|SCUOLA PRIMO GRADO|VIA MADONNA DEL POPOLO|CUNEO|PIEMONTE|110.0|S
NORD OVEST|CNIC838009|CNMM83802B|CAVALLERMAGGIORE|CAVALLERM SS CARAMAGNA P.TE|CARAMAGNA PIEMONTE|SCUOLA PRIMO GRADO|PIAZZA CASTELLO|CUNEO|PIEMONTE|81.0|S
NORD OVEST|CNIS00300E|CNRC00301D|"CUNEO - ""S.GRANDIS"""|"CUNEO ""S.GRANDIS"""|CUNEO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|CORSO      IV NOVEMBRE 16|CUNEO|PIEMONTE|706.0|S
NORD OVEST|CNIS00300E|CNRC00350T|"CUNEO - ""S.GRANDIS"""|CUNEO IPC GRANDIS - SERALE|CUNEO|IST PROF PER I SERVIZI COMMERCIALI E TURISTICI|CORSO IV NOVEMBRE N.16|CUNEO|PIEMONTE|119.0|S
NORD OVEST|CNIC811009|CNMM81103C|SAN MICHELE MONDOVI'|S.MICHELE M.VI' SS SERRA PAMPAR|PAMPARATO|SCUOLA PRIMO GRADO|VIA PROVINCIALE  N. 5|CUNEO|PIEMONTE|12.0|S
NORD OVEST|CNIC83600N|CNMM83602Q|GARESSIO|GARESSIO SS BAGNASCO|BAGNASCO|SCUOLA PRIMO GRADO|VIA ROMA N.5|CUNEO|PIEMONTE|35.0|S
NORD OVEST|CNIC83600N|CNMM83603R|GARESSIO|GARESSIO SS ORMEA|ORMEA|SCUOLA PRIMO GRADO|VIA MARTINETTO, 1- LOC.ALTRAMELLA|CUNEO|PIEMONTE|25.0|S
NORD OVEST|CNIC83700D|CNMM83701E|NEIVE|NEIVE|NEIVE|SCUOLA PRIMO GRADO|VIA CESARE PAVESE N. 3|CUNEO|PIEMONTE|125.0|S
NORD OVEST|CNIC83700D|CNMM83702G|NEIVE|NEIVE SS MANGO|MANGO|SCUOLA PRIMO GRADO|VIA CIRCONVALLAZIONE N. 43|CUNEO|PIEMONTE|58.0|S
NORD OVEST|CNIC838009|CNMM83801A|CAVALLERMAGGIORE|"CAVALLERMAGGIORE ""L.EINAUDI"""|CAVALLERMAGGIORE|SCUOLA PRIMO GRADO|VIA  SAN PIETRO N. 9|CUNEO|PIEMONTE|199.0|S
NORD OVEST|CNIC82300G|CNMM82302N|GOVONE|GOVONE SS PRIOCCA N.COSTA|PRIOCCA|SCUOLA PRIMO GRADO|VIA ROMA, 39|CUNEO|PIEMONTE|123.0|S
NORD OVEST|CNIC82400B|CNMM82401C|SANTO STEFANO BELBO|SANTO STEFANO BELBO|SANTO STEFANO BELBO|SCUOLA PRIMO GRADO|VIA ROMA N. 19|CUNEO|PIEMONTE|148.0|S
NORD OVEST|CNIC825007|CNMM825018|CHERASCO - S. TARICCO|"CHERASCO ""S.TARICCO"""|CHERASCO|SCUOLA PRIMO GRADO|VIA BEATO AMEDEO N. 18|CUNEO|PIEMONTE|306.0|S
NORD OVEST|CNIC812005|CNMM812016|VILLANOVA MONDOVI'|VILLANOVA MONDOVI'|VILLANOVA MONDOVI'|SCUOLA PRIMO GRADO|CORSO MARCONI N. 37|CUNEO|PIEMONTE|322.0|S
NORD OVEST|CNIC813001|CNMM813012|"CEVA ""A.MOMIGLIANO"""|"CEVA ""A.MOMIGLIANO"""|CEVA|SCUOLA PRIMO GRADO|VIA L.MARENCO    N 1|CUNEO|PIEMONTE|255.0|S
NORD OVEST|CNIC81400R|CNMM81401T|BOSSOLASCO-MURAZZANO|"BOSSOLASCO ""ALTA LANGA"""|BOSSOLASCO|SCUOLA PRIMO GRADO|PIAZZA CADUTI PER LA PATRIA, 1|CUNEO|PIEMONTE|41.0|S
NORD OVEST|CNIC81400R|CNMM81402V|BOSSOLASCO-MURAZZANO|BOSSOLASCO SS LEQUIO BERRIA|LEQUIO BERRIA|SCUOLA PRIMO GRADO|VIA LANGA N.5|CUNEO|PIEMONTE|26.0|S
NORD OVEST|CNIC81400R|CNMM81403X|BOSSOLASCO-MURAZZANO|BOSSOLASCO SS CRAVANZANA|CRAVANZANA|SCUOLA PRIMO GRADO|PIAZZA MARCONI, 1|CUNEO|PIEMONTE|34.0|S
NORD OVEST|CNIC825007|CNMM825029|CHERASCO - S. TARICCO|CHERASCO SS NARZOLE|NARZOLE|SCUOLA PRIMO GRADO|PIAZZA     GIOVANNI XXIII|CUNEO|PIEMONTE|117.0|S
NORD OVEST|CNIC826003|CNMM826014|VENASCA-COSTIGLIOLE S.|VENASCA|VENASCA|SCUOLA PRIMO GRADO|VIA MARCONI N. 4|CUNEO|PIEMONTE|65.0|S
NORD OVEST|CNIC826003|CNMM826025|VENASCA-COSTIGLIOLE S.|VENASCA SS SAMPEYRE|SAMPEYRE|SCUOLA PRIMO GRADO|VIA  SILVIO PELLICO|CUNEO|PIEMONTE|37.0|S
NORD OVEST|CNIS019004|CNTD01950P|"ALBA - ""L. EINAUDI"""|I.T.C.GEOM. ALBA SERALE|ALBA|IST TEC COMMERCIALE E PER GEOMETRI|VIA P.FERRERO 20|CUNEO|PIEMONTE||
NORD OVEST|CNIS02900P|CNTD029011|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|"MONDOVI' ""G. BARUFFI"""|MONDOVI'|IST TEC COMMERCIALE E PER GEOMETRI|VIA E. TORTORA,  48|CUNEO|PIEMONTE|297.0|S
NORD OVEST|CNIC826003|CNMM826036|VENASCA-COSTIGLIOLE S.|VENASCA SS PIASCO|PIASCO|SCUOLA PRIMO GRADO|VIA UMBERTO I 86|CUNEO|PIEMONTE|100.0|S
