AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIC83200A|CNEE83202D|"BAGNOLO P.TE ""B. FENOGLIO"""|BAGNOLO P.TE-FRAZ.VILLARETTO|BAGNOLO PIEMONTE|SCUOLA PRIMARIA|VIA VILLARETTO 60|CUNEO|PIEMONTE|0040090004|CN|Attivo|201516.0|NO|NO|NO|Rischio sismicità medio/alta (S=9)|SI|SI|NO|2004|Informazione assente|-|Informazione assente|1.0|-|-|129,00
NORD OVEST|CNIC83100E|CNAA83102C|MORETTA|MORETTA INFANZIA|MORETTA|SCUOLA INFANZIA|VIA PALLIERI 18/A|CUNEO|PIEMONTE|0041430006|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1992|Informazione assente|-|Informazione assente|1.0|6.029,00|4.639,00|5.560,00
NORD OVEST|CNIC83100E|CNAA83103D|MORETTA|CARDE'|CARDE'|SCUOLA INFANZIA|VIA MORETTA 23|CUNEO|PIEMONTE|0040420001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|1968|Informazione assente|-|Informazione assente|4.0|3.630,00|2.910,00|3.837,00
NORD OVEST|CNIC809009|CNMM80901A|"""A. VASSALLO"" BOVES"|"BOVES ""A.VASSALLO"""|BOVES|SCUOLA PRIMO GRADO|VIA DON CAVALLERA N.14|CUNEO|PIEMONTE|0040280004|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1975|Informazione assente|-|Informazione assente|4.0|5.000,00|3.000,00|16.000,00
NORD OVEST|CNIC81000D|CNMM81001E|ROBILANTE|ROBILANTE|ROBILANTE|SCUOLA PRIMO GRADO|PIAZZA DELLA PACE  N. 8|CUNEO|PIEMONTE|0041850001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|4.500,00|2.897,00|7.970,00
NORD OVEST|CNIS01700C|CNIS01700C|"FOSSANO -  ""G.VALLAURI"""|"FOSSANO -  ""G.VALLAURI"""|FOSSANO|ISTITUTO SUPERIORE|VIA S.MICHELE 68|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC83200A|CNAA832017|"BAGNOLO P.TE ""B. FENOGLIO"""|SCUOLA DELL'INFANZIA E.PASQUET|BAGNOLO PIEMONTE|SCUOLA INFANZIA|VIA  A. DE GASPERI 3|CUNEO|PIEMONTE|0040090006|CN|Attivo|201516.0|NO|NO|NO|Rischio sismicità medio/alta (S=9)|SI|SI|NO|2007|Informazione assente|-|Informazione assente|1.0|3.121,00|2.246,00|3.937,00
NORD OVEST|CNIC846008|CNIC846008|DOGLIANI|DOGLIANI|DOGLIANI|ISTITUTO COMPRENSIVO|VIA DOMENICO GHIGLIANO N.38|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC82800P|CNAA82802L|"DRONERO ""G.GIOLITTI"""|DRONERO-CAPOLUOGO|DRONERO|SCUOLA INFANZIA|PIAZZA MARCONI N. 4/B|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC82800P|CNAA82803N|"DRONERO ""G.GIOLITTI"""|VILLAR S.COSTANZO-MORRA|VILLAR SAN COSTANZO|SCUOLA INFANZIA|LOC. MORRA|CUNEO|PIEMONTE|0042470004|CN|Attivo|201516.0|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|1959|Informazione assente|-|tra il 1946 e il 1975|2.0|492,00|283,00|1.327,00
NORD OVEST|CNIC82800P|CNAA82804P|"DRONERO ""G.GIOLITTI"""|DRONERO OLTRE MAIRA|DRONERO|SCUOLA INFANZIA|VIA MONTEMALE, 1|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC80700N|CNMM80703R|BENE VAGIENNA|BENE VAGIENNA SS S.ALBANO STURA|SANT'ALBANO STURA|SCUOLA PRIMO GRADO|VIA MOROZZO 14|CUNEO|PIEMONTE|0042110004|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|SI|NO|2004|Informazione assente|-|Informazione assente|3.0|1.123,00|1.000,00|6.676,00
NORD OVEST|CNIC80200E|CNAA80201B|MOROZZO|BEINETTE-CAPOLUOGO|BEINETTE|SCUOLA INFANZIA|VIA GIOVANNI XXIII, 9|CUNEO|PIEMONTE|0040160001|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|3.0|1.600,00|970,00|2.835,00
NORD OVEST|CNIC80800D|CNMM80801E|BORGO S. DALMAZZO|"BORGO S. DALMAZZO ""GRANDIS"""|BORGO SAN DALMAZZO|SCUOLA PRIMO GRADO|PIAZZA DON RAIMONDO VIALE N. 9|CUNEO|PIEMONTE|0040250005|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1964|Informazione assente|-|Informazione assente|5.0|1.600,00|470,00|20.284,00
