ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SCUOLABUS, TRASPORTIPUBBLICIURBANI, TRASPORTIPUBBLICIINTERURBANI, TRASPORTIFERROVIARI, MEZZIPRIVATI, TRASPORTODISABILI, ALTRO
201516,AGIC821001,0840014224,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC82200R,0840014234,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC82300L,0840014193,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC82300L,0840014252,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC82400C,0840014229,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC825008,0840014228,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC826004,0840054834,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC82700X,0840091061,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC82900G,0840111104,SI,SI,NO,SI,SI,SI,Non Comunicato
201516,AGIC83000Q,0840111095,SI,SI,SI,SI,SI,SI,Non Comunicato
201516,AGIC83200B,0840181531,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC833007,0840211125,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC834003,0840211129,SI,SI,SI,SI,SI,SI,Non Comunicato
201516,AGIC83600P,0840231135,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC83600P,0840231139,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC83600P,0840231140,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC83800A,0840274810,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC839006,0840282298,NO,NO,NO,NO,SI,SI,SI
201516,AGIC841006,0840314556,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC84300T,0840330603,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC84400N,0840413407,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC84500D,0840414358,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC846009,0840031388,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC846009,0840031390,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC847005,0840274800,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGIC848001,0840211132,NO,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC84900R,0840211126,NO,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC850001,0840274844,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC85100R,0840291071,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC85200L,0840123230,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC85300C,0840261159,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC854008,0840302759,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC855004,0840014214,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC855004,0840014215,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGIC85700Q,0840330598,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC85800G,0840174154,NO,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIC85900B,0840174157,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGIC86100B,0840174143,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGIS00100X,0840110785,NO,SI,NO,NO,SI,NO,Non Comunicato
