ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPAZIDIDATTICI, AULAMAGNA, MENSA, PALESTRAPISCINA, SPAZIAMMINISTRATIVI
201516,CSAA8AX02D,0781190348,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AX03E,0781190354,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AY018,0781300937,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA8AY029,0781380378,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE01001X,0780450929,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE02400R,0780100451,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE02401T,0780100456,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE02403X,0780100451,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE19001N,0780700593,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSEE19002P,0780700594,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSEE19003Q,0780700240,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSEE19004R,0780701459,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE19005T,0780701456,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE19006V,0780701455,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSEE19007X,0780701458,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590004,0780330122,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590004,0780330124,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590004,0780331434,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590015,0780330497,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590026,0780330122,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590026,0780330124,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590026,0780330496,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE590026,0780331434,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE591011,0780330498,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE80201X,0780490922,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE802021,0780490883,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE802032,0780940881,Esiste,Esiste,Non Esiste,Non Esiste,Esiste
201516,CSEE80901P,0781060902,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE80903R,0781060667,Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,CSEE80904T,0781061124,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSEE81002X,0780120064,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE810031,0780120068,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE810042,0780980067,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSEE81102Q,0780440525,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81103R,0780440530,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81201E,0780451023,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSEE81204N,0780450657,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE81206Q,0780450901,Esiste,Non Esiste,Non Esiste,Esiste,Non Esiste
201516,CSEE814016,0781280714,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSEE814027,0780850371,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE814049,0781150955,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSEE815012,0780510552,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSEE815045,0781290200,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
